N_PARCELLE;Date_debut;Date_fin;Type_intervention;Detail_intervention;Crop;N;P;K;MG;S;Herbi;Fongi;Mollus;Insect
P101;2014-09-23;2014-09-23;Traitement;Antilimace;-;0;0;0;0;0;0;0;0.285714285714286;0
P101;2015-04-12;2015-04-12;Traitement;Fongicide;-;0;0;0;0;0;0;0.5;0;0
P101;2015-04-28;2015-04-28;Traitement;Fongicide;-;0;0;0;0;0;0;0.5;0;0
P101;2015-04-10;2015-04-10;Traitement;Insecticide;-;0;0;0;0;0;0;0;0;0.5
P101;2014-09-24;2014-09-24;Traitement;Herbicide;-;0;0;0;0;0;1.12;0;0;0
P101;2015-02-10;2015-02-10;Fertilisation;N;_;34;0;0;0;0;0;0;0;0
P101;2015-02-10;2015-02-10;Fertilisation;N;_;73;0;0;0;0;0;0;0;0
P101;2015-02-10;2015-02-10;Fertilisation;N;_;34;0;0;0;70;0;0;0;0
P101;2015-10-12;2016-07-20;Culture;Culture principale;Ble_tendre_hiver;0;0;0;0;0;0;0;0;0
P101;2016-07-20;2016-07-20;Recolte;Culture principale;Ble_tendre_hiver;0;0;0;0;0;0;0;0;0
P101;2015-07-15;2015-07-15;Travail-sol;Broyage;_;0;0;0;0;0;0;0;0;0
P101;2015-07-17;2015-07-17;Travail-sol;Dechaumage;_;0;0;0;0;0;0;0;0;0
P101;2015-08-04;2015-08-04;Travail-sol;Decompactage;_;0;0;0;0;0;0;0;0;0
P101;2016-03-14;2016-03-14;Traitement;Herbicide;-;0;0;0;0;0;2.1015037593985;0;0;0
P101;2016-04-08;2016-04-08;Traitement;Fongicide;-;0;0;0;0;0;0;0.6;0;0
P101;2016-05-25;2016-05-25;Traitement;Fongicide;-;0;0;0;0;0;0;1;0;0
P101;2016-02-18;2016-02-18;Fertilisation;N;_;67;0;0;0;0;0;0;0;0
P101;2016-02-18;2016-02-18;Fertilisation;N;_;106;0;0;0;0;0;0;0;0
P101;2016-02-18;2016-02-18;Fertilisation;N;_;34;0;0;0;39;0;0;0;0
P101;2016-10-08;2017-06-28;Culture;Culture principale;Escourgeon;0;0;0;0;0;0;0;0;0
P101;2017-06-28;2017-06-28;Recolte;Culture principale;Escourgeon;0;0;0;0;0;0;0;0;0
P101;2016-07-28;2016-07-28;Travail-sol;Dechaumage;_;0;0;0;0;0;0;0;0;0
